trader_address_label,Entity,trader_address,account_value,roi,total_pnl(unrealize profit)
Smart HL Perps Trader [0x6bea81],retail,0x6bea81d7a0c5939a5ce5552e125ab57216cc597f,"2,400,226.15",0.08,"301,132.90"
[0x6a572b],retail,0x6a572bb9d31ff710f882f33c21d8ba11a169a887,"158,802.98",0.03,"115,880.69"
[0x6979dd],retail,0x6979dde2781dc4ec843641b10b2a2f2e0f4bda62,"756,325.52",0.12,"731,483.71"
bergspyder.eth [0x6859da],retail,0x6859da14835424957a1e6b397d8026b1d9ff7e1e,"4,599,583.25",0.02,"962,473.95"
donkstrategy.eth [0x649156],retail,0x649156ebf0a350deb18a1e4835873defd4dc5349,"485,260.64",0.19,"489,340.99"
Fasanara Capital: 0x7fd [0x7fdafd],VCs,0x621c5551678189b9a6c94d929924c225ff1d63ab,"61,814,094.23",0.10,"8,095,502.41"
Selini Capital [0x621c55],VCs,0x621c5551678189b9a6c94d929924c225ff1d63ab,"2,507,054.12",0.00,"190,112.78"
Yield Farmer [0x5f94a5],retail,0x5f94a51948d2376ad34a6fadfa2544e651b74b96,"2,142,490.28",0.17,"408,661.78"
High Balance [0x5cf2cc],retail,0x5cf2cc2c71231c23cd5c5a008b9339da33f0fa57,"787,294.71",0.58,"129,945.24"
High Balance [0x5bc43f],retail,0x5bc43f38c2ddcd85857f218674cd384f172c3b0c,"7,346,256.78",0.01,"189,353.88"
[0x5b7a84],retail,0x5b7a84ac80c85bafc5610dba827a9d95f52419f2,"512,875.80",0.40,"318,476.70"
Abraxas Capital [0x5b5d51],VCs,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,"40,563,411.40",0.58,"31,168,059.65"
Degen Blast Bridge Depositor [0x598634],retail,0x5986347c1d0133d02d307f08bb1efd44c2eb89d9,"1,010,581.56",0.03,"210,669.17"
High Balance [0x57dd78],retail,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,"9,581,789.37",0.00,"246,442.14"
Smart HL Perps Trader [0x570b09],retail,0x570b09e27a87f9acbce49f85056745d29b3ee3c6,"2,097,740.91",0.04,"447,532.96"
Funded @beltoncap On Friendtech [0x56cd86],VCs,0x56cd86d6ef24a3f51ce6992b7f1db751b0a0276a,"4,455,505.37",0.09,"387,305.50"
Whale [0x514ad8],retail,0x514ad80730593801036e2934bcda9b4e90221b4d,"2,528,629.55",0.08,"401,757.70"
[0x4cb5f4],retail,0x4cb5f4d145cd16460932bbb9b871bb6fd5db97e3,"335,285.57",0.00,"109,125.18"
High Activity [0x4b1c09],retail,0x4b1c09fa8322548360a76a3747e32a60a864bc38,"2,008,766.70",0.06,"147,928.40"
Whale [0x4a9603],retail,0x4a96036fb1529561fa3eeeb2781fad2d4f25500e,"3,165,233.49",0.01,"150,456.60"
[0x49c8ea],retail,0x49c8ea6e059fefd5f32b78c581d22767d8cc32b3,"329,602.57",0.00,"326,181.25"
High Balance [0x458291],retail,0x45829143c5f29cd31566bede323f074861f48044,"743,573.59",0.05,"196,077.60"
[0x419faf],retail,0x419faf18c082ab1b0fce9ff447c38168a9f45593,"376,539.24",0.00,"334,274.85"
Whale [0x413c27],retail,0x413c2724b62975c18b1415650f998a8f0a67886c,"2,764,844.99",0.03,"161,554.47"
Former Smart Trader [0x41206f],retail,0x41206f8efb51e5039e5b46e04e7866a4849f72d2,"1,116,723.15",0.03,"335,760.86"
[0x3ff73e],retail,0x3ff73eae520b053e82449eda5c9cf719c38aa48c,"608,891.76",0.03,"123,854.43"
[0x3ff54f],retail,0x3ff54fd26855db3758d0b5ae7aed47440c47f705,"1,685,266.95",0.02,"101,623.78"
High Activity [0x3fc56e],retail,0x3fc56e944aa7b1594c85861b2d46a07f82a2c0c1,"4,765,261.67",0.04,"102,609.58"
[0x3d89bc],retail,0x3d89bcea338f35edfaeb313b1c713978c6dceb14,"935,417.93",0.00,"125,894.59"
[0x3c363e],retail,0x3c363e96d22c056d748f199fb728fc80d70e461a,"1,304,765.48",0.01,"136,657.46"
Selini Capital [0x39475d],VCs,0x39475d17bcd20adc540e647dae6781b153fbf3b1,"5,956,163.22",0.00,"461,432.89"
